Date,Rented Bike Count,Hour,Temperature,Humidity,Wind speed (m/s),Visibility (10m),Dew point temperature,Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
2018-01-01,206,0,-3.2,40,0.5,1358,-14.9,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,230,1,-3.3,41,0.7,2000,-14.7,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,178,2,-3.7,42,0.9,2000,-14.7,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,119,3,-4.0,44,1.0,2000,-14.4,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,62,4,-4.2,53,1.1,1994,-12.3,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,61,5,-4.4,54,0.8,1786,-12.3,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,65,6,-4.5,51,1.1,2000,-13.1,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,81,7,-4.7,56,1.1,2000,-12.1,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,89,8,-5.0,55,1.0,2000,-12.6,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,121,9,-4.3,39,0.7,1973,-16.2,0.15,0.0,0.0,Winter,Holiday,Yes
2018-01-01,139,10,-1.6,32,0.8,1766,-16.1,0.53,0.0,0.0,Winter,Holiday,Yes
2018-01-01,169,11,0.1,27,2.2,1874,-16.7,0.84,0.0,0.0,Winter,Holiday,Yes
2018-01-01,225,12,1.5,20,2.8,1992,-19.0,1.03,0.0,0.0,Winter,Holiday,Yes
2018-01-01,248,13,2.4,22,2.3,1921,-17.2,1.1,0.0,0.0,Winter,Holiday,Yes
2018-01-01,298,14,3.7,24,2.1,1906,-15.0,1.01,0.0,0.0,Winter,Holiday,Yes
2018-01-01,344,15,3.0,27,2.9,1715,-14.2,0.78,0.0,0.0,Winter,Holiday,Yes
2018-01-01,310,16,3.0,28,2.5,1864,-13.7,0.51,0.0,0.0,Winter,Holiday,Yes
2018-01-01,271,17,1.8,33,3.3,1913,-12.8,0.18,0.0,0.0,Winter,Holiday,Yes
2018-01-01,218,18,0.8,34,1.9,1887,-13.3,0.01,0.0,0.0,Winter,Holiday,Yes
2018-01-01,125,19,-0.1,39,1.3,1911,-12.4,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,206,20,-0.3,40,1.2,1936,-12.2,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,203,21,-0.9,44,1.2,1871,-11.6,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,168,22,-1.3,48,0.8,1927,-10.9,0.0,0.0,0.0,Winter,Holiday,Yes
2018-01-01,154,23,-1.6,51,0.7,1882,-10.4,0.0,0.0,0.0,Winter,Holiday,Yes
2018-02-01,148,0,-1.8,54,1.1,1772,-9.8,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,108,1,-2.1,56,0.8,1732,-9.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,69,2,-2.3,62,0.9,1560,-8.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,41,3,-2.5,62,0.4,1626,-8.7,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,31,4,-2.7,67,0.5,1302,-7.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,58,5,-3.1,67,0.6,1384,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,139,6,-3.2,67,0.4,1409,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,344,7,-3.2,69,0.5,1249,-8.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,655,8,-3.4,71,0.8,1179,-7.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,315,9,-3.1,66,0.2,1168,-8.5,0.12,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,208,10,-1.4,50,1.9,1355,-10.5,0.38,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,269,11,-0.4,40,2.3,1633,-12.3,0.66,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,293,12,0.9,29,1.9,1761,-15.1,0.88,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,273,13,1.5,23,3.6,1970,-17.4,0.95,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,302,14,1.7,20,4.4,1995,-18.9,0.91,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,295,15,1.5,22,3.0,1998,-17.9,0.76,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,320,16,1.3,23,2.9,2000,-17.6,0.51,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,373,17,0.3,27,2.6,2000,-16.5,0.18,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,675,18,-0.8,24,2.3,2000,-18.9,0.01,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,403,19,-1.3,28,2.4,2000,-17.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,364,20,-1.9,26,2.2,2000,-18.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,304,21,-2.6,28,2.0,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,273,22,-3.4,33,2.4,2000,-17.4,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-02-01,186,23,-3.8,35,2.3,2000,-17.0,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-03-01,160,0,-4.3,38,1.4,2000,-16.5,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-03-01,130,1,-5.0,42,1.2,1993,-15.9,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-03-01,110,2,-5.5,43,2.0,2000,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-03-01,67,3,-6.1,45,1.3,1999,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes
2018-03-01,43,4,-6.1,45,2.3,2000,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes
