Date,High(°F),Low(°F),Precip.(inch),Snow(inch)
2018-01-01,13.1,0.1,0.0,0.0
2018-01-02,19.2,4.1,0.0,0.0
2018-01-03,29.1,16.2,0.0,0.0
2018-01-04,30.2,22.1,1.35,13.39
2018-01-05,24.3,6.3,0.0,0.0
2018-01-06,12.2,1.2,0.0,0.0
2018-01-07,17.2,-1.8,0.0,0.0
2018-01-08,35.1,17.2,,
2018-01-09,43.0,31.1,0.0,0.0
2018-01-10,36.0,25.2,0.0,0.0
2018-01-11,51.1,33.1,0.0,0.0
2018-01-12,60.1,39.0,0.62,0.0
2018-01-13,61.0,19.2,1.24,0.0
2018-01-14,23.2,14.2,0.0,0.0
2018-01-15,21.2,12.2,,0.31
2018-01-16,33.1,20.1,0.0,0.0
2018-01-17,34.0,31.1,0.21,1.69
2018-01-18,32.0,21.2,0.0,0.0
2018-01-19,34.0,23.2,0.0,0.0
2018-01-20,46.9,29.1,0.0,0.0
2018-01-21,48.9,34.0,0.0,0.0
2018-01-22,39.0,34.0,0.06,0.0
2018-01-23,55.0,32.0,1.26,0.0
2018-01-24,42.1,24.3,0.0,0.0
2018-01-25,30.2,21.2,0.0,0.0
2018-01-26,34.0,19.2,0.0,0.0
2018-01-27,53.1,25.2,0.0,0.0
2018-01-28,52.0,43.0,0.03,0.0
2018-01-29,43.0,28.2,,0.12
2018-01-30,31.1,20.1,0.15,2.28
2018-01-31,30.2,18.1,0.0,0.0
2018-02-01,46.0,30.2,0.04,0.0
2018-02-02,37.9,12.2,0.25,0.12
2018-02-03,28.2,10.2,0.0,0.0
2018-02-04,43.0,26.2,0.29,0.0
2018-02-05,43.0,24.3,0.36,0.0
2018-02-06,34.0,22.1,,
2018-02-07,43.0,23.2,0.65,2.09
2018-02-08,34.0,22.1,0.0,0.0
2018-02-09,32.0,22.1,0.0,0.0
2018-02-10,52.0,30.2,0.16,0.0
2018-02-11,48.9,37.9,0.69,0.0
2018-02-12,48.0,33.1,0.0,0.0
2018-02-13,33.1,25.2,0.0,0.0
2018-02-14,46.9,28.2,0.0,0.0
2018-02-15,48.9,35.1,,0.0
2018-02-16,54.0,34.0,0.02,0.0
2018-02-17,35.1,27.1,0.17,1.89
2018-02-18,44.1,32.0,0.35,3.7
2018-02-19,50.0,26.2,0.06,0.0
2018-02-20,70.0,42.1,0.01,0.0
2018-02-21,72.0,41.0,0.0,0.0
2018-02-22,55.0,32.0,0.08,0.51
2018-02-23,39.9,31.1,0.12,0.0
2018-02-24,55.0,37.0,0.0,0.0
2018-02-25,41.0,37.0,0.51,
2018-02-26,51.1,37.9,0.0,0.0
2018-02-27,53.1,36.0,0.0,0.0
2018-02-28,60.1,39.0,0.01,0.0
2018-03-01,60.1,39.9,0.0,0.0
2018-03-02,43.0,35.1,2.3,
2018-03-03,43.0,37.0,,0.0
2018-03-04,41.0,36.0,,
2018-03-05,44.1,32.0,0.05,0.59
2018-03-06,37.0,33.1,,
2018-03-07,39.0,33.1,0.55,2.52
2018-03-08,37.9,31.1,0.71,3.9
2018-03-09,37.0,29.1,,
2018-03-10,39.9,33.1,,
2018-03-11,44.1,31.1,0.0,0.0
2018-03-12,42.1,29.1,,0.0
2018-03-13,37.9,28.2,1.15,14.49
2018-03-14,41.0,29.1,0.03,0.31
2018-03-15,43.0,32.0,0.01,0.12
2018-03-16,37.9,28.2,0.0,0.0
2018-03-17,42.1,19.2,0.0,0.0
2018-03-18,33.1,16.2,0.0,0.0
2018-03-19,37.9,21.2,0.0,0.0
2018-03-20,39.0,24.3,0.0,0.0
2018-03-21,39.0,32.0,,0.0
2018-03-22,42.1,32.0,0.09,1.3
2018-03-23,42.1,35.1,0.0,0.0
2018-03-24,46.0,34.0,0.01,
2018-03-25,39.0,32.0,0.07,0.12
2018-03-26,39.9,29.1,0.0,0.0
2018-03-27,42.1,28.2,0.0,0.0
2018-03-28,54.0,36.0,0.01,0.0
2018-03-29,50.0,37.0,0.01,0.0
2018-03-30,64.0,43.0,0.08,0.0
2018-03-31,57.0,39.0,0.0,0.0
2018-04-01,59.0,37.0,0.0,0.0
2018-04-02,39.9,31.1,0.11,0.71
2018-04-03,48.0,32.0,0.47,0.0
2018-04-04,57.9,39.0,0.2,0.0
2018-04-05,43.0,30.2,0.0,0.0
2018-04-06,43.0,29.1,0.21,0.59
2018-04-07,46.9,35.1,0.01,0.0
2018-04-08,42.1,32.0,0.0,0.0
2018-04-09,46.0,30.2,0.0,0.0
2018-04-10,41.0,35.1,,0.0
2018-04-11,45.0,30.2,0.0,0.0
2018-04-12,55.0,36.0,0.06,0.0
2018-04-13,69.1,44.1,,0.0
2018-04-14,52.0,37.9,0.0,0.0
2018-04-15,39.0,33.1,0.04,
2018-04-16,53.1,36.0,1.57,0.0
2018-04-17,50.0,39.9,0.0,0.0
2018-04-18,53.1,36.0,0.0,0.0
2018-04-19,44.1,36.0,0.23,
2018-04-20,53.1,36.0,0.0,0.0
2018-04-21,59.0,39.0,0.0,0.0
2018-04-22,62.1,42.1,0.0,0.0
2018-04-23,57.9,43.0,0.0,0.0
2018-04-24,69.1,42.1,0.0,0.0
2018-04-25,55.9,46.9,0.72,0.0
2018-04-26,68.0,50.0,0.21,0.0
2018-04-27,57.0,46.0,0.54,0.0
2018-04-28,70.0,46.0,0.0,0.0
2018-04-29,60.1,43.0,0.05,0.0
2018-04-30,48.0,39.9,0.2,0.0
2018-05-01,66.9,44.1,0.0,0.0
2018-05-02,89.1,57.9,0.0,0.0
2018-05-03,90.0,61.0,0.09,0.0
2018-05-04,82.0,57.0,,0.0
2018-05-05,75.0,57.9,0.0,0.0
2018-05-06,66.9,50.0,0.19,0.0
2018-05-07,61.0,48.0,0.0,0.0
2018-05-08,60.1,45.0,0.0,0.0
2018-05-09,63.0,46.0,,0.0
2018-05-10,71.1,48.9,0.0,0.0
2018-05-11,70.0,52.0,0.0,0.0
2018-05-12,53.1,48.9,0.21,0.0
2018-05-13,54.0,48.0,0.0,0.0
2018-05-14,69.1,48.9,0.0,0.0
2018-05-15,84.9,57.9,1.0,0.0
2018-05-16,62.1,50.0,,0.0
2018-05-17,71.1,51.1,0.0,0.0
2018-05-18,64.9,46.9,0.0,0.0
2018-05-19,55.0,46.0,0.2,0.0
2018-05-20,81.0,54.0,0.08,0.0
2018-05-21,80.1,57.0,0.0,0.0
2018-05-22,66.9,54.0,0.03,0.0
2018-05-23,84.0,54.0,0.02,0.0
2018-05-24,68.0,53.1,0.0,0.0
2018-05-25,88.0,54.0,0.0,0.0
2018-05-26,89.1,61.0,,0.0
2018-05-27,61.0,50.0,0.02,0.0
2018-05-28,59.0,50.0,0.06,0.0
2018-05-29,84.9,57.9,0.0,0.0
2018-05-30,69.1,60.1,0.0,0.0
2018-05-31,82.9,55.9,0.0,0.0
2018-06-01,79.0,64.0,0.01,0.0
2018-06-02,81.0,57.0,0.01,0.0
2018-06-03,60.1,50.0,0.0,0.0
2018-06-04,53.1,48.9,0.62,0.0
2018-06-05,61.0,48.9,0.34,0.0
2018-06-06,62.1,53.1,0.0,0.0
2018-06-07,72.0,54.0,0.0,0.0
2018-06-08,81.0,55.0,,0.0
2018-06-09,80.1,62.1,0.0,0.0
2018-06-10,72.0,60.1,0.0,0.0
2018-06-11,64.0,55.9,0.0,0.0
2018-06-12,80.1,54.0,0.0,0.0
2018-06-13,77.0,59.0,,0.0
2018-06-14,79.0,57.0,0.0,0.0
2018-06-15,64.0,54.0,,0.0
