Country,Happiness Score 2019,Happiness Score 2018,Happiness Score 2017,Happiness Score 2016,Happiness Score 2015
Finland,7.769,7.632,7.4689998626709,7.413,7.406
Denmark,7.6,7.555,7.52199983596802,7.526,7.527
Norway,7.554,7.594,7.53700017929077,7.498,7.522
Iceland,7.494,7.495,7.50400018692017,7.501,7.561
Netherlands,7.488,7.441,7.3769998550415,7.339,7.378
Switzerland,7.48,7.487,7.49399995803833,7.509,7.587
Sweden,7.343,7.314,7.28399991989136,7.291,7.364
New Zealand,7.307,7.324,7.31400012969971,7.334,7.286
Canada,7.278,7.328,7.31599998474121,7.404,7.427
Austria,7.246,7.139,7.00600004196167,7.119,7.2
Australia,7.228,7.272,7.28399991989136,7.313,7.284
Costa Rica,7.167,7.072,7.0789999961853,7.087,7.226
Israel,7.139,6.814,7.21299982070923,7.267,7.278
Luxembourg,7.09,6.91,6.86299991607666,6.871,6.946
United Kingdom,7.054,7.19,6.71400022506714,6.725,6.867
Ireland,7.021,6.977,6.97700023651123,6.907,6.94
Germany,6.985,6.965,6.95100021362305,6.994,6.75
Belgium,6.923,6.927,6.89099979400635,6.929,6.937
United States,6.892,6.886,6.99300003051758,7.104,7.119
Czech Republic,6.852,6.711,6.60900020599365,6.596,6.505
United Arab Emirates,6.825,6.774,6.64799976348877,6.573,6.901
Malta,6.726,6.627,6.52699995040894,6.488,6.302
Mexico,6.595,6.488,6.57800006866455,6.778,7.187
France,6.592,6.489,6.44199991226196,6.478,6.575
Chile,6.444,6.476,6.65199995040894,6.705,6.67
Guatemala,6.436,6.382,6.4539999961853,6.324,6.123
Saudi Arabia,6.375,6.371,6.3439998626709,6.379,6.411
Qatar,6.374,6.374,6.375,6.375,6.611
Spain,6.354,6.31,6.40299987792969,6.361,6.329
Panama,6.321,6.43,6.4520001411438,6.701,6.786
Brazil,6.3,6.419,6.63500022888184,6.952,6.983
Uruguay,6.293,6.379,6.4539999961853,6.545,6.485
Singapore,6.262,6.343,6.57200002670288,6.739,6.798
El Salvador,6.253,6.167,6.00299978256226,6.068,6.13
Italy,6.223,6.0,5.96400022506714,5.977,5.948
Bahrain,6.199,6.105,6.08699989318848,6.218,5.96
Slovakia,6.198,6.173,6.09800004959106,6.078,5.995
Poland,6.182,6.123,5.97300004959106,5.835,5.791
Uzbekistan,6.174,6.096,5.97100019454956,5.987,6.003
Lithuania,6.149,5.952,5.90199995040894,5.813,5.833
Colombia,6.125,6.26,6.35699987411499,6.481,6.477
Slovenia,6.118,5.948,5.75799989700317,5.768,5.848
Nicaragua,6.105,6.141,6.07100009918213,5.992,5.828
Kosovo,6.1,5.662,5.27899980545044,5.401,5.589
